experiment;approach;model;k;sim_measure;agg_method;OneHit;PrecisionK;R-Precision
12,50%;graph;user;5;aa;highest-similarity;0,720735786;0,378929766;0,200716693
12,50%;graph;user;5;cn;highest-similarity;0,826086957;0,437458194;0,271771038
12,50%;graph;user;5;ew;highest-similarity;0,81270903;0,440802676;0,254653095
12,50%;graph;user;5;jn;highest-similarity;0,948160535;0,522408027;0,347099881
12,50%;graph;user;5;pa;highest-similarity;0,700668896;0,374247492;0,196465872
12,50%;graph;user;5;waa;highest-similarity;0,757525084;0,373244147;0,190112039
12,50%;graph;user;5;wcn;highest-similarity;0,757525084;0,372909699;0,190251392
12,50%;graph;user;5;wpa;highest-similarity;0,752508361;0,369899666;0,188447761
12,50%;graph;user;10;aa;highest-similarity;0,847826087;0,397324415;0,200716693
12,50%;graph;user;10;cn;highest-similarity;0,923076923;0,408862876;0,271771038
12,50%;graph;user;10;ew;highest-similarity;0,904682274;0,405183946;0,254653095
12,50%;graph;user;10;jn;highest-similarity;0,991638796;0,457525084;0,347099881
12,50%;graph;user;10;pa;highest-similarity;0,822742475;0,397491639;0,196465872
12,50%;graph;user;10;waa;highest-similarity;0,928093645;0,369397993;0,190112039
12,50%;graph;user;10;wcn;highest-similarity;0,928093645;0,368394649;0,190251392
12,50%;graph;user;10;wpa;highest-similarity;0,936454849;0,365217391;0,188447761
12,50%;graph;user;3;aa;simple_voting;0,79264214;0,574693423;0,253495877
12,50%;graph;user;3;cn;simple_voting;0,79264214;0,574693423;0,253495877
12,50%;graph;user;3;ew;simple_voting;0,799331104;0,578595318;0,264169582
12,50%;graph;user;3;jn;simple_voting;0,79264214;0,574693423;0,253495877
12,50%;graph;user;3;pa;simple_voting;0,79264214;0,574693423;0,253495877
12,50%;graph;user;3;waa;simple_voting;0,79264214;0,574693423;0,253495877
12,50%;graph;user;3;wcn;simple_voting;0,79264214;0,574693423;0,253495877
12,50%;graph;user;3;wpa;simple_voting;0,79264214;0,574693423;0,253495877
12,50%;graph;user;5;aa;simple_voting;0,882943144;0,481605351;0,253495877
12,50%;graph;user;5;cn;simple_voting;0,882943144;0,481605351;0,253495877
12,50%;graph;user;5;ew;simple_voting;0,876254181;0,49264214;0,264169582
12,50%;graph;user;5;jn;simple_voting;0,882943144;0,481605351;0,253495877
12,50%;graph;user;5;pa;simple_voting;0,882943144;0,481605351;0,253495877
12,50%;graph;user;5;waa;simple_voting;0,882943144;0,481605351;0,253495877
12,50%;graph;user;5;wcn;simple_voting;0,882943144;0,481605351;0,253495877
12,50%;graph;user;5;wpa;simple_voting;0,882943144;0,481605351;0,253495877
12,50%;graph;user;10;aa;simple_voting;0,89632107;0,414046823;0,253495877
12,50%;graph;user;10;cn;simple_voting;0,89632107;0,414046823;0,253495877
12,50%;graph;user;10;ew;simple_voting;0,909698997;0,421070234;0,264169582
12,50%;graph;user;10;jn;simple_voting;0,89632107;0,414046823;0,253495877
12,50%;graph;user;10;pa;simple_voting;0,89632107;0,414046823;0,253495877
12,50%;graph;user;10;waa;simple_voting;0,89632107;0,414046823;0,253495877
12,50%;graph;user;10;wcn;simple_voting;0,89632107;0,414046823;0,253495877
12,50%;graph;user;10;wpa;simple_voting;0,89632107;0,414046823;0,253495877
12,50%;graph;user;3;aa;weighted_voting;0,79264214;0,574693423;0,253871059
12,50%;graph;user;3;cn;weighted_voting;0,79264214;0,574693423;0,253871059
12,50%;graph;user;3;ew;weighted_voting;0,801003344;0,579152731;0,283214904
12,50%;graph;user;3;jn;weighted_voting;0,79264214;0,574693423;0,255782192
12,50%;graph;user;3;pa;weighted_voting;0,79264214;0,574693423;0,251959927
12,50%;graph;user;3;waa;weighted_voting;0,79264214;0,574693423;0,255368113
12,50%;graph;user;3;wcn;weighted_voting;0,79264214;0,574693423;0,255368113
12,50%;graph;user;3;wpa;weighted_voting;0,79264214;0,574693423;0,257415281
12,50%;graph;user;5;aa;weighted_voting;0,882943144;0,481605351;0,253871059
12,50%;graph;user;5;cn;weighted_voting;0,882943144;0,481605351;0,253871059
12,50%;graph;user;5;ew;weighted_voting;0,867892977;0,51638796;0,283214904
12,50%;graph;user;5;jn;weighted_voting;0,882943144;0,481605351;0,255782192
12,50%;graph;user;5;pa;weighted_voting;0,882943144;0,481605351;0,251959927
12,50%;graph;user;5;waa;weighted_voting;0,809364548;0,482274247;0,255368113
12,50%;graph;user;5;wcn;weighted_voting;0,809364548;0,482274247;0,255368113
12,50%;graph;user;5;wpa;weighted_voting;0,809364548;0,482274247;0,257415281
12,50%;graph;user;10;aa;weighted_voting;0,89632107;0,414046823;0,253871059
12,50%;graph;user;10;cn;weighted_voting;0,89632107;0,414046823;0,253871059
12,50%;graph;user;10;ew;weighted_voting;0,914715719;0,432608696;0,283214904
12,50%;graph;user;10;jn;weighted_voting;0,89632107;0,414548495;0,255782192
12,50%;graph;user;10;pa;weighted_voting;0,89632107;0,414046823;0,251959927
12,50%;graph;user;10;waa;weighted_voting;0,89632107;0,414214047;0,255368113
12,50%;graph;user;10;wcn;weighted_voting;0,89632107;0,414214047;0,255368113
12,50%;graph;user;10;wpa;weighted_voting;0,89632107;0,414046823;0,257415281
12,50%;graph;user;3;aa;positional_voting;0,795986622;0,574693423;0,259277057
12,50%;graph;user;3;cn;positional_voting;0,799331104;0,57580825;0,264502267
12,50%;graph;user;3;ew;positional_voting;0,807692308;0,581939799;0,285408836
12,50%;graph;user;3;jn;positional_voting;0,894648829;0,629877369;0,323299104
12,50%;graph;user;3;pa;positional_voting;0,79264214;0,574693423;0,245159792
12,50%;graph;user;3;waa;positional_voting;0,79264214;0,574693423;0,259864411
12,50%;graph;user;3;wcn;positional_voting;0,79264214;0,574693423;0,259830628
12,50%;graph;user;3;wpa;positional_voting;0,79264214;0,574693423;0,257381266
12,50%;graph;user;5;aa;positional_voting;0,819397993;0,506688963;0,259277057
12,50%;graph;user;5;cn;positional_voting;0,827759197;0,510033445;0,264502267
12,50%;graph;user;5;ew;positional_voting;0,83277592;0,526755853;0,285408836
12,50%;graph;user;5;jn;positional_voting;0,936454849;0,564548495;0,323299104
12,50%;graph;user;5;pa;positional_voting;0,802675585;0,492976589;0,245159792
12,50%;graph;user;5;waa;positional_voting;0,811036789;0,504682274;0,259864411
12,50%;graph;user;5;wcn;positional_voting;0,811036789;0,502675585;0,259830628
12,50%;graph;user;5;wpa;positional_voting;0,802675585;0,49264214;0,257381266
12,50%;graph;user;10;aa;positional_voting;0,884615385;0,415217391;0,259277057
12,50%;graph;user;10;cn;positional_voting;0,918060201;0,435451505;0,264502267
12,50%;graph;user;10;ew;positional_voting;0,918060201;0,435451505;0,285408836
12,50%;graph;user;10;jn;positional_voting;0,983277592;0,464214047;0,323299104
12,50%;graph;user;10;pa;positional_voting;0,821070234;0,404180602;0,245159792
12,50%;graph;user;10;waa;positional_voting;0,821070234;0,404347826;0,259864411
12,50%;graph;user;10;wcn;positional_voting;0,821070234;0,404347826;0,259830628
12,50%;graph;user;10;wpa;positional_voting;0,821070234;0,404347826;0,257381266
25%;graph;item;3;aa;highest-similarity;0,944148936;0,686170213;0,608832266
25%;graph;item;3;cn;highest-similarity;0,944148936;0,686170213;0,606612493
25%;graph;item;3;ew;highest-similarity;0,968085106;0,763297872;0,610546693
25%;graph;item;3;jn;highest-similarity;0,944148936;0,686170213;0,589417421
25%;graph;item;3;pa;highest-similarity;0,944148936;0,686170213;0,606198368
25%;graph;item;3;waa;highest-similarity;0,968085106;0,764184397;0,619700812
25%;graph;item;3;wcn;highest-similarity;0,968085106;0,764184397;0,620348657
25%;graph;item;3;wpa;highest-similarity;0,968085106;0,764184397;0,620109977
25%;graph;item;5;aa;highest-similarity;0,986702128;0,689361702;0,608832266
25%;graph;item;5;cn;highest-similarity;0,989361702;0,695212766;0,606612493
25%;graph;item;5;ew;highest-similarity;0,981382979;0,690957447;0,610546693
25%;graph;item;5;jn;highest-similarity;0,978723404;0,685638298;0,589417421
25%;graph;item;5;pa;highest-similarity;0,986702128;0,689361702;0,606198368
25%;graph;item;5;waa;highest-similarity;0,981382979;0,690957447;0,619700812
25%;graph;item;5;wcn;highest-similarity;0,981382979;0,690957447;0,620348657
